-------------------------------------------------------
Greedy experiments over Random
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 576.6298497733596, 1.124999999999985
2, 636.1638279213523, 2.24999999999997
3, 716.2715657286492, 3.374999999999993
4, 735.6837233854969, 4.49999999999994
5, 767.5232872323917, 5.624999999999949
6, 783.6912421327395, 6.749999999999986
7, 796.9889153524273, 7.874999999999969
8, 827.1108364500385, 8.99999999999988
9, 835.0821680361736, 10.124999999999904
10, 851.0033034137308, 11.249999999999899
11, 876.9872586805502, 12.374999999999947
12, 885.0992559163782, 13.499999999999972
13, 893.4344167408979, 14.624999999999904
14, 910.9704166905924, 15.749999999999938
15, 922.5132217961293, 16.87500000000004
16, 942.1728148740889, 17.99999999999976
17, 954.2574114785941, 19.124999999999766
18, 957.8592658634407, 20.249999999999808
19, 978.2194713163539, 21.374999999999787
20, 977.1246747572786, 22.499999999999797
21, 985.5887894688713, 23.624999999999897
22, 990.2954575408551, 24.749999999999893
23, 1001.7605416210196, 25.87499999999987
24, 1014.9968206853989, 26.999999999999943
25, 1020.0179956442219, 28.125000000000064
26, 1021.2074617821949, 29.249999999999808
27, 1029.1975709189603, 30.375000000000057
28, 1027.236878500056, 31.499999999999876
29, 1026.9608134478597, 32.62499999999967
30, 1050.711220078459, 33.75000000000008
31, 1050.2069287270645, 34.874999999999766
32, 1052.5668013933616, 35.99999999999952
33, 1059.835926655406, 37.12499999999987
34, 1071.891717990796, 38.24999999999953
35, 1066.1804155013406, 39.37500000000017
36, 1073.3075361386677, 40.499999999999616
37, 1083.006928017105, 41.62499999999991
38, 1081.8101557036239, 42.749999999999574
39, 1098.9007011050512, 43.87499999999931
40, 1106.606006427402, 44.999999999999595
41, 1105.448143592052, 46.124999999999936
42, 1104.8345336288376, 47.249999999999794
43, 1111.4489612372254, 48.37499999999961
44, 1124.1747483125453, 49.49999999999979
45, 1118.6530262032234, 50.62500000000017
46, 1132.150746353612, 51.74999999999974
47, 1129.68066738224, 52.87499999999981
48, 1140.4915954726343, 53.999999999999886
49, 1128.8971144030716, 55.12499999999951
50, 1146.6371548362308, 56.25000000000013
51, 1148.0370486659865, 57.374999999999986
52, 1145.7766530779268, 58.499999999999616
53, 1150.3625437472112, 59.624999999999396
54, 1142.885564142714, 60.750000000000114
55, 1152.715614293632, 61.874999999999865
56, 1161.0692981762409, 62.99999999999975
57, 1163.4747547870825, 64.1249999999995
58, 1168.1612294424353, 65.24999999999935
59, 1178.8688155840807, 66.37500000000018
60, 1181.4562931344283, 67.50000000000016
61, 1187.603306602145, 68.62499999999916
62, 1186.8426297245853, 69.74999999999953
63, 1186.6838003043488, 70.87500000000026
64, 1191.5845007827684, 71.99999999999903
65, 1193.7051293109912, 73.12499999999986
66, 1189.5197197207085, 74.24999999999974
67, 1194.951640054484, 75.37499999999893
68, 1189.8530620400113, 76.49999999999906
69, 1197.3004605219967, 77.62499999999936
70, 1210.9475676434051, 78.75000000000034
71, 1208.6623796822346, 79.87499999999946
72, 1201.8774137426021, 80.99999999999923
73, 1212.8837642545334, 82.12499999999908
74, 1212.4445757898245, 83.24999999999982
75, 1211.8927700764307, 84.3749999999995
76, 1217.860344907731, 85.49999999999915
77, 1218.7618625241407, 86.6250000000002
78, 1220.1857314609151, 87.74999999999862
79, 1217.1628433442936, 88.87499999999935
80, 1220.6987285852433, 89.99999999999919
81, 1233.8769891105687, 91.1250000000003
82, 1241.0090001167123, 92.24999999999987
83, 1233.9165000730407, 93.3749999999989
84, 1237.752128094242, 94.49999999999959
85, 1239.627633737166, 95.62499999999986
86, 1244.3017103328548, 96.74999999999922
87, 1245.7148555888086, 97.87499999999905
88, 1246.49678238908, 98.99999999999957
89, 1244.2116619943604, 100.12499999999974
90, 1253.6651808795164, 101.25000000000034
91, 1248.4857875361, 102.37499999999868
92, 1247.3006419794822, 103.49999999999947
93, 1245.4453892044353, 104.62499999999989
94, 1244.4869147349477, 105.74999999999962
95, 1243.4232344114212, 106.87499999999991
96, 1252.1714470398038, 107.99999999999977
97, 1250.1842618651685, 109.12499999999957
98, 1259.2477304840909, 110.24999999999902
99, 1256.542436222722, 111.375
100, 1255.26979904167, 112.50000000000026
101, 1255.683752286406, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 576.6298497733596, 1.124999999999985
2, 647.1827147347739, 2.24999999999997
3, 716.2715657286492, 3.374999999999993
4, 735.6837233854969, 4.49999999999994
5, 767.5232872323917, 5.624999999999949
6, 786.45059163461, 6.749999999999986
