-------------------------------------------------------
Greedy experiments over Random
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 487.2841209557934, 1.124999999999985
2, 570.7594904179895, 2.24999999999997
3, 597.552965400168, 3.374999999999993
4, 647.1082845492939, 4.49999999999994
5, 650.609999124776, 5.624999999999949
6, 699.3610536661188, 6.749999999999986
7, 691.6157377639747, 7.874999999999969
8, 717.99027980253, 8.99999999999988
9, 732.4431328945668, 10.124999999999904
10, 760.1872777635353, 11.249999999999899
11, 754.0833623683654, 12.374999999999947
12, 768.6176237353548, 13.499999999999972
13, 798.7001529865937, 14.624999999999904
14, 794.7240817183983, 15.749999999999938
15, 803.4004514302553, 16.87500000000004
16, 820.5981526473097, 17.99999999999976
17, 829.5650218080898, 19.124999999999766
18, 843.5090505081374, 20.249999999999808
19, 850.5447256245859, 21.374999999999787
20, 863.048932749213, 22.499999999999797
21, 870.1245545518241, 23.624999999999897
22, 872.8737798003813, 24.749999999999893
23, 871.8718355650475, 25.87499999999987
24, 895.8804722733379, 26.999999999999943
25, 905.8292108096439, 28.125000000000064
26, 911.567839172804, 29.249999999999808
27, 915.7287021748514, 30.375000000000057
28, 900.6830448674698, 31.499999999999876
29, 904.945640749552, 32.62499999999967
30, 920.8078815095856, 33.75000000000008
31, 924.1415788940258, 34.874999999999766
32, 930.1273361481796, 35.99999999999952
33, 937.3686729254617, 37.12499999999987
34, 935.4791428990169, 38.24999999999953
35, 938.5459067016549, 39.37500000000017
36, 955.0378923128908, 40.499999999999616
37, 951.6182286384526, 41.62499999999991
38, 963.0973710777567, 42.749999999999574
39, 966.2596616779177, 43.87499999999931
40, 967.5914669635758, 44.999999999999595
41, 975.6865629391893, 46.124999999999936
42, 972.4593524264097, 47.249999999999794
43, 978.3069461129733, 48.37499999999961
44, 978.0952960224276, 49.49999999999979
45, 991.8600439727625, 50.62500000000017
46, 1001.9730901857758, 51.74999999999974
47, 991.0382226454645, 52.87499999999981
48, 991.6886680110717, 53.999999999999886
49, 998.2916010211968, 55.12499999999951
50, 1008.62452566251, 56.25000000000013
51, 1012.3191390452251, 57.374999999999986
52, 1018.6449656869406, 58.499999999999616
53, 1014.2318594541032, 59.624999999999396
54, 1013.4862256503778, 60.750000000000114
55, 1018.8294185497656, 61.874999999999865
56, 1034.2758132188478, 62.99999999999975
57, 1035.9232920994368, 64.1249999999995
58, 1025.908262223415, 65.24999999999935
59, 1038.776842332542, 66.37500000000018
60, 1031.0710626726425, 67.50000000000016
61, 1039.510710854221, 68.62499999999916
62, 1036.6610718571696, 69.74999999999953
63, 1048.4587281420568, 70.87500000000026
64, 1040.6512668233865, 71.99999999999903
65, 1058.4407230143518, 73.12499999999986
66, 1048.239077578945, 74.24999999999974
67, 1063.7998777555908, 75.37499999999893
68, 1055.9785077859358, 76.49999999999906
69, 1061.3400944753728, 77.62499999999936
70, 1056.664893976736, 78.75000000000034
71, 1051.1901429689128, 79.87499999999946
72, 1059.5614782837738, 80.99999999999923
73, 1075.3567239841545, 82.12499999999908
74, 1074.0074273301425, 83.24999999999982
75, 1074.7673044120143, 84.3749999999995
76, 1064.8632322722253, 85.49999999999915
77, 1080.5201421568306, 86.6250000000002
78, 1078.517263881687, 87.74999999999862
79, 1075.40195270981, 88.87499999999935
80, 1082.5655545659117, 89.99999999999919
81, 1088.6854613111598, 91.1250000000003
82, 1076.5105530798833, 92.24999999999987
83, 1082.925171093793, 93.3749999999989
84, 1092.5058143362007, 94.49999999999959
85, 1105.5878088507186, 95.62499999999986
86, 1091.475672203493, 96.74999999999922
87, 1097.2560148171312, 97.87499999999905
88, 1089.7113819079352, 98.99999999999957
89, 1088.5342699673392, 100.12499999999974
90, 1097.8585929670692, 101.25000000000034
91, 1090.0073495450447, 102.37499999999868
92, 1099.0383426161593, 103.49999999999947
93, 1096.357087452791, 104.62499999999989
94, 1105.1027600572647, 105.74999999999962
95, 1103.274044930185, 106.87499999999991
96, 1102.3472344774102, 107.99999999999977
97, 1099.642914858064, 109.12499999999957
98, 1116.1966788155883, 110.24999999999902
99, 1112.3066037256626, 111.375
100, 1105.5971083798427, 112.50000000000026
101, 1106.705212457804, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 483.3763166603525, 1.124999999999985
2, 588.5357001374707, 2.24999999999997
3, 616.0813017603028, 3.374999999999993
4, 650.9662444358223, 4.49999999999994
5, 676.7633857572422, 5.624999999999949
6, 686.2336023593064, 6.749999999999986
7, 713.7971157625285, 7.874999999999969
