-------------------------------------------------------
Greedy experiments over RegularLattice
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 188.50308012916454, 1.124999999999985
2, 204.81560022034142, 2.24999999999997
3, 215.59657675643672, 3.374999999999993
4, 226.17755546633302, 4.49999999999994
5, 231.67256175920755, 5.624999999999949
6, 242.50335805178833, 6.749999999999986
7, 241.96642484549483, 7.874999999999969
8, 239.34454373944922, 8.99999999999988
9, 250.5680846664804, 10.124999999999904
10, 255.0060659720993, 11.249999999999899
11, 257.54533934908443, 12.374999999999947
12, 255.83318252576947, 13.499999999999972
13, 262.0001621550217, 14.624999999999904
14, 275.5566750677472, 15.749999999999938
15, 273.55677066250394, 16.87500000000004
16, 277.1033249138703, 17.99999999999976
17, 285.21455402533405, 19.124999999999766
18, 286.517296147071, 20.249999999999808
19, 280.9521364516592, 21.374999999999787
20, 287.96212262002484, 22.499999999999797
21, 295.33219431495525, 23.624999999999897
22, 296.0529808289791, 24.749999999999893
23, 293.6084142388787, 25.87499999999987
24, 306.94955495081865, 26.999999999999943
25, 294.78244735020627, 28.125000000000064
26, 305.90070076455095, 29.249999999999808
27, 312.48137147352264, 30.375000000000057
28, 319.3599594124462, 31.499999999999876
29, 324.19244482533094, 32.62499999999967
30, 320.915532295992, 33.75000000000008
31, 323.6521994129563, 34.874999999999766
32, 326.04086159857764, 35.99999999999952
33, 333.4134804874476, 37.12499999999987
34, 337.773357827694, 38.24999999999953
35, 334.37229715417664, 39.37500000000017
36, 340.2103138398393, 40.499999999999616
37, 334.3560354937695, 41.62499999999991
38, 338.1551050458866, 42.749999999999574
39, 345.5579102328632, 43.87499999999931
40, 343.3580106435256, 44.999999999999595
41, 353.4087776841564, 46.124999999999936
42, 345.7206104283981, 47.249999999999794
43, 340.81137372618906, 48.37499999999961
44, 357.45145650112386, 49.49999999999979
45, 355.930100538956, 50.62500000000017
46, 349.1505378019337, 51.74999999999974
47, 358.0965500402141, 52.87499999999981
48, 359.56194534197414, 53.999999999999886
49, 369.91441183818444, 55.12499999999951
50, 368.5064039640996, 56.25000000000013
51, 366.46539783137365, 57.374999999999986
52, 368.50529417531294, 58.499999999999616
53, 369.7043419101393, 59.624999999999396
54, 376.12839135311805, 60.750000000000114
55, 376.769636030312, 61.874999999999865
56, 383.43183946774565, 62.99999999999975
57, 376.4592469926198, 64.1249999999995
58, 385.66585279838466, 65.24999999999935
59, 383.7229361904607, 66.37500000000018
60, 390.40638269965007, 67.50000000000016
61, 383.9603514879192, 68.62499999999916
62, 389.08282589295226, 69.74999999999953
63, 399.89145800755193, 70.87500000000026
64, 382.4672266573988, 71.99999999999903
65, 393.4510318239132, 73.12499999999986
66, 402.4686696866675, 74.24999999999974
67, 396.66567087580063, 75.37499999999893
68, 405.0513785625566, 76.49999999999906
69, 408.98755910386353, 77.62499999999936
70, 410.94196139964396, 78.75000000000034
71, 404.3535140551501, 79.87499999999946
72, 407.2268537033415, 80.99999999999923
73, 410.11247417883885, 82.12499999999908
74, 414.6122685381477, 83.24999999999982
75, 407.3946052792654, 84.3749999999995
76, 411.10120173765955, 85.49999999999915
77, 426.19165204436223, 86.6250000000002
78, 412.06860970592123, 87.74999999999862
79, 423.8996937747523, 88.87499999999935
80, 427.2675487635141, 89.99999999999919
81, 424.81943753459075, 91.1250000000003
82, 428.3770148860215, 92.24999999999987
83, 431.2966356429814, 93.3749999999989
84, 423.26934424090524, 94.49999999999959
85, 423.1308441581415, 95.62499999999986
86, 429.6736631210673, 96.74999999999922
87, 431.0635135491465, 97.87499999999905
88, 414.44381442801006, 98.99999999999957
89, 431.5294624332564, 100.12499999999974
90, 430.139646752585, 101.25000000000034
91, 435.1327709732242, 102.37499999999868
92, 448.1356752848816, 103.49999999999947
93, 435.20044474157964, 104.62499999999989
94, 429.91795161944384, 105.74999999999962
95, 441.5792140537363, 106.87499999999991
96, 432.43563139061325, 107.99999999999977
97, 437.66202304254887, 109.12499999999957
98, 448.5236758776253, 110.24999999999902
99, 438.6247174605386, 111.375
100, 444.205561806298, 112.50000000000026
101, 454.1638016986798, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 178.5916394117859, 1.124999999999985
2, 196.04107634144145, 2.24999999999997
3, 208.29673112255864, 3.374999999999993
4, 232.37021291945317, 4.49999999999994
5, 228.62837860874964, 5.624999999999949
6, 228.8155082442871, 6.749999999999986
7, 242.82864920885604, 7.874999999999969
8, 241.58622468590283, 8.99999999999988
9, 254.819646940332, 10.124999999999904
