-------------------------------------------------------
Greedy experiments over ScaleFree
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 566.3725197159481, 1.124999999999985
2, 656.620281772572, 2.24999999999997
3, 664.6683423657715, 3.374999999999993
4, 689.6115412295078, 4.49999999999994
5, 722.9794837537204, 5.624999999999949
6, 705.8792537350561, 6.749999999999986
7, 734.2017186224468, 7.874999999999969
8, 746.0205008886675, 8.99999999999988
9, 764.688789787482, 10.124999999999904
10, 769.4521017974514, 11.249999999999899
11, 762.6509046077691, 12.374999999999947
12, 804.8486036274675, 13.499999999999972
13, 822.1805482662157, 14.624999999999904
14, 807.9052072163742, 15.749999999999938
15, 813.4948458708388, 16.87500000000004
16, 800.5287272103675, 17.99999999999976
17, 831.0348409574659, 19.124999999999766
18, 837.5238649916067, 20.249999999999808
19, 843.1221480824594, 21.374999999999787
20, 832.0552175194956, 22.499999999999797
21, 852.3953648350138, 23.624999999999897
22, 840.9953367141152, 24.749999999999893
23, 859.8451420213754, 25.87499999999987
24, 879.6538569283514, 26.999999999999943
25, 857.2182932761709, 28.125000000000064
26, 886.8391251573381, 29.249999999999808
27, 877.1937688942774, 30.375000000000057
28, 868.7602962676841, 31.499999999999876
29, 870.9306015147491, 32.62499999999967
30, 889.7260255495114, 33.75000000000008
31, 900.8605828144877, 34.874999999999766
32, 887.9997015533397, 35.99999999999952
33, 918.6525444626108, 37.12499999999987
34, 921.88433079412, 38.24999999999953
35, 915.3769293110078, 39.37500000000017
36, 925.4919296932064, 40.499999999999616
37, 923.5857616452477, 41.62499999999991
38, 947.9634893816701, 42.749999999999574
39, 934.4262155142778, 43.87499999999931
40, 917.7514504456531, 44.999999999999595
41, 946.5707210052163, 46.124999999999936
42, 935.16642255571, 47.249999999999794
43, 936.9042048030681, 48.37499999999961
44, 935.5559700291839, 49.49999999999979
45, 949.2861267218101, 50.62500000000017
46, 965.7742087864044, 51.74999999999974
47, 960.2685106774222, 52.87499999999981
48, 972.9380732491527, 53.999999999999886
49, 967.2239123864271, 55.12499999999951
50, 974.7974257054475, 56.25000000000013
51, 962.2014905634676, 57.374999999999986
52, 969.9151654426216, 58.499999999999616
53, 981.6939163407254, 59.624999999999396
54, 982.2284769369038, 60.750000000000114
55, 979.3642077179431, 61.874999999999865
56, 970.5639480017992, 62.99999999999975
57, 956.4973754481209, 64.1249999999995
58, 975.0461496886674, 65.24999999999935
59, 986.3481718534658, 66.37500000000018
60, 985.1881878056438, 67.50000000000016
61, 983.2105531310942, 68.62499999999916
62, 976.3512316192937, 69.74999999999953
63, 991.2915803287293, 70.87500000000026
64, 987.529019305556, 71.99999999999903
65, 989.834782693462, 73.12499999999986
66, 989.6543569844389, 74.24999999999974
67, 1006.0815542851885, 75.37499999999893
68, 1009.477392919712, 76.49999999999906
69, 1019.9720514686009, 77.62499999999936
70, 1009.6513922366739, 78.75000000000034
71, 1008.6024620554824, 79.87499999999946
72, 1031.3708090453408, 80.99999999999923
73, 1014.3878581674592, 82.12499999999908
74, 1011.7120514328635, 83.24999999999982
75, 1013.3526648415985, 84.3749999999995
76, 1024.1760037203107, 85.49999999999915
77, 1009.0352768223263, 86.6250000000002
78, 1003.3802517706948, 87.74999999999862
79, 1033.108653561921, 88.87499999999935
80, 1026.7366241655548, 89.99999999999919
81, 1039.340863103509, 91.1250000000003
82, 1044.206867130715, 92.24999999999987
83, 1052.6782882714053, 93.3749999999989
84, 1033.3016343696322, 94.49999999999959
85, 1036.0867312316584, 95.62499999999986
86, 1050.842087096248, 96.74999999999922
87, 1023.749355501297, 97.87499999999905
88, 1028.7615720832052, 98.99999999999957
89, 1023.9256144520543, 100.12499999999974
90, 1055.4953469049308, 101.25000000000034
91, 1069.7378716605767, 102.37499999999868
92, 1046.4044500680282, 103.49999999999947
93, 1046.897900268564, 104.62499999999989
94, 1053.9205648320183, 105.74999999999962
95, 1060.151208938843, 106.87499999999991
96, 1038.152540593513, 107.99999999999977
97, 1045.8475414933198, 109.12499999999957
98, 1073.6642228159094, 110.24999999999902
99, 1067.2655600770465, 111.375
100, 1078.0379640368978, 112.50000000000026
101, 1063.9187291299088, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 583.7732067362671, 1.124999999999985
2, 670.4094552954448, 2.24999999999997
3, 663.6611636564664, 3.374999999999993
4, 698.7765625214064, 4.49999999999994
5, 717.9181219707826, 5.624999999999949
6, 737.6987807051153, 6.749999999999986
7, 771.1456270785143, 7.874999999999969
8, 744.7240395377805, 8.99999999999988
