-------------------------------------------------------
Greedy experiments over SmallWorld
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 262.2690512942567, 1.124999999999985
2, 394.71977748428554, 2.24999999999997
3, 449.3966175518607, 3.374999999999993
4, 508.14240747239865, 4.49999999999994
5, 541.5097496568635, 5.624999999999949
6, 540.841915850349, 6.749999999999986
7, 590.2800908254771, 7.874999999999969
8, 637.8106239363692, 8.99999999999988
9, 681.7034394704349, 10.124999999999904
10, 702.6822610057837, 11.249999999999899
11, 700.9532586962598, 12.374999999999947
12, 714.1983375355139, 13.499999999999972
13, 745.5274362954665, 14.624999999999904
14, 769.937284663652, 15.749999999999938
15, 775.5431026239308, 16.87500000000004
16, 802.1884983261793, 17.99999999999976
17, 811.681820930239, 19.124999999999766
18, 831.9104517965101, 20.249999999999808
19, 837.0646188766381, 21.374999999999787
20, 864.2875561695935, 22.499999999999797
21, 870.270295267502, 23.624999999999897
22, 886.0030978298249, 24.749999999999893
23, 912.9949244117776, 25.87499999999987
24, 921.8116530276068, 26.999999999999943
25, 921.826467883564, 28.125000000000064
26, 935.2598559490101, 29.249999999999808
27, 949.4349384331703, 30.375000000000057
28, 949.5892866564849, 31.499999999999876
29, 948.7211472029612, 32.62499999999967
30, 961.3719589895475, 33.75000000000008
31, 983.3998084089584, 34.874999999999766
32, 984.5190318164827, 35.99999999999952
33, 995.0735890998891, 37.12499999999987
34, 998.8614464567888, 38.24999999999953
35, 1015.4334542669446, 39.37500000000017
36, 1013.7111186762174, 40.499999999999616
37, 1018.304154752979, 41.62499999999991
38, 1020.784694811915, 42.749999999999574
39, 1038.4541282702219, 43.87499999999931
40, 1050.9328813104132, 44.999999999999595
41, 1053.8591834949991, 46.124999999999936
42, 1080.8418531467312, 47.249999999999794
43, 1062.529142179499, 48.37499999999961
44, 1074.44856790125, 49.49999999999979
45, 1075.2668362407815, 50.62500000000017
46, 1096.5032429926152, 51.74999999999974
47, 1093.191830068772, 52.87499999999981
48, 1091.7119956612064, 53.999999999999886
49, 1103.0260584492116, 55.12499999999951
50, 1114.2031718943454, 56.25000000000013
51, 1120.5275816573517, 57.374999999999986
52, 1135.469546650927, 58.499999999999616
53, 1130.345848065299, 59.624999999999396
54, 1126.5288455691334, 60.750000000000114
55, 1137.8763773257324, 61.874999999999865
56, 1135.1886344537984, 62.99999999999975
57, 1135.3665718506686, 64.1249999999995
58, 1156.3481409213257, 65.24999999999935
59, 1160.4555152546752, 66.37500000000018
60, 1163.0794286522778, 67.50000000000016
61, 1147.4347285138915, 68.62499999999916
62, 1162.763850496287, 69.74999999999953
63, 1182.8445440523212, 70.87500000000026
64, 1175.175161060971, 71.99999999999903
65, 1176.96513141548, 73.12499999999986
66, 1189.3222431076463, 74.24999999999974
67, 1189.3728088563553, 75.37499999999893
68, 1188.660547797615, 76.49999999999906
69, 1189.3734808241556, 77.62499999999936
70, 1187.8903795830854, 78.75000000000034
71, 1204.4354038090664, 79.87499999999946
72, 1192.1887055037741, 80.99999999999923
73, 1199.4605599532633, 82.12499999999908
74, 1209.6958461810802, 83.24999999999982
75, 1202.1007773383303, 84.3749999999995
76, 1208.9594127396676, 85.49999999999915
77, 1218.6714384661343, 86.6250000000002
78, 1206.5937440648345, 87.74999999999862
79, 1216.0224423092957, 88.87499999999935
80, 1231.049347531824, 89.99999999999919
81, 1219.305386518668, 91.1250000000003
82, 1224.3115579385185, 92.24999999999987
83, 1225.8638662907165, 93.3749999999989
84, 1229.9316566916561, 94.49999999999959
85, 1232.1610575628688, 95.62499999999986
86, 1231.5202035056163, 96.74999999999922
87, 1241.9403785282632, 97.87499999999905
88, 1229.0284701166436, 98.99999999999957
89, 1249.0095291882722, 100.12499999999974
90, 1253.2675377268963, 101.25000000000034
91, 1247.0054029250891, 102.37499999999868
92, 1243.8417703596176, 103.49999999999947
93, 1260.6092741969926, 104.62499999999989
94, 1261.8338541149878, 105.74999999999962
95, 1260.313593515697, 106.87499999999991
96, 1268.1900884038719, 107.99999999999977
97, 1265.0041493008525, 109.12499999999957
98, 1269.5013015404447, 110.24999999999902
99, 1267.964782640437, 111.375
100, 1262.6217802842125, 112.50000000000026
101, 1251.6116203865995, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 295.35879987043637, 1.124999999999985
2, 388.6014044953662, 2.24999999999997
3, 467.10280859387706, 3.374999999999993
4, 454.80124498545865, 4.49999999999994
5, 518.6233549686661, 5.624999999999949
6, 586.0057388839689, 6.749999999999986
