-------------------------------------------------------
Greedy experiments over ScaleFree
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 643.5525797988723, 1.124999999999985
2, 690.6453970797136, 2.24999999999997
3, 739.6654647976081, 3.374999999999993
4, 745.4595005167563, 4.49999999999994
5, 756.5662468666693, 5.624999999999949
6, 765.3181011484169, 6.749999999999986
7, 765.7586524818078, 7.874999999999969
8, 765.7208827738066, 8.99999999999988
9, 775.7406186795672, 10.124999999999904
10, 771.2622154131061, 11.249999999999899
11, 770.1986808227874, 12.374999999999947
12, 774.3417341283314, 13.499999999999972
13, 771.8267686793861, 14.624999999999904
14, 778.0969610354505, 15.749999999999938
15, 769.3188338773655, 16.87500000000004
16, 769.9048039042193, 17.99999999999976
17, 763.7162656527278, 19.124999999999766
18, 763.2190074694129, 20.249999999999808
19, 766.1385448418207, 21.374999999999787
20, 763.5699050521386, 22.499999999999797
21, 765.4429300558443, 23.624999999999897
22, 762.2762232075304, 24.749999999999893
23, 757.822278104568, 25.87499999999987
24, 759.2011926017631, 26.999999999999943
25, 758.2584056053241, 28.125000000000064
26, 756.3785222823486, 29.249999999999808
27, 751.8351165002247, 30.375000000000057
28, 755.0997025840051, 31.499999999999876
29, 752.657627917953, 32.62499999999967
30, 750.8624380948951, 33.75000000000008
31, 749.8885404361735, 34.874999999999766
32, 745.9640148888479, 35.99999999999952
33, 748.2152167612651, 37.12499999999987
34, 746.1135658472389, 38.24999999999953
35, 742.030620303335, 39.37500000000017
36, 746.5059011567222, 40.499999999999616
37, 745.2416140650253, 41.62499999999991
38, 743.6306973393573, 42.749999999999574
39, 740.0523041509016, 43.87499999999931
40, 744.4325720146549, 44.999999999999595
41, 744.7162226424269, 46.124999999999936
42, 738.8226690281288, 47.249999999999794
43, 738.6973281500648, 48.37499999999961
44, 739.6817818321327, 49.49999999999979
45, 739.6926005854117, 50.62500000000017
46, 743.9998650919945, 51.74999999999974
47, 738.3225516413142, 52.87499999999981
48, 734.1888282772029, 53.999999999999886
49, 739.5848745731075, 55.12499999999951
50, 738.3804843915207, 56.25000000000013
51, 735.441378561644, 57.374999999999986
52, 729.0526573841239, 58.499999999999616
53, 730.2420190899206, 59.624999999999396
54, 733.3337409621756, 60.750000000000114
55, 728.916766454187, 61.874999999999865
56, 731.8454840683478, 62.99999999999975
57, 729.3856336493354, 64.1249999999995
58, 731.4373822085485, 65.24999999999935
59, 727.5111156953001, 66.37500000000018
60, 726.1186346393727, 67.50000000000016
61, 726.1807636584347, 68.62499999999916
62, 724.7656248130118, 69.74999999999953
63, 725.8678766016101, 70.87500000000026
64, 720.6085729886415, 71.99999999999903
65, 722.5433821176397, 73.12499999999986
66, 722.8676011665355, 74.24999999999974
67, 720.0974670905548, 75.37499999999893
68, 718.9521230379561, 76.49999999999906
69, 720.0367348342078, 77.62499999999936
70, 716.000909934131, 78.75000000000034
71, 719.8490045650977, 79.87499999999946
72, 714.2880008148807, 80.99999999999923
73, 718.7976543109713, 82.12499999999908
74, 713.9236124573745, 83.24999999999982
75, 709.4651331433822, 84.3749999999995
76, 710.4777239236789, 85.49999999999915
77, 715.6657742646282, 86.6250000000002
78, 708.4272246563294, 87.74999999999862
79, 708.459832700196, 88.87499999999935
80, 710.1779494215691, 89.99999999999919
81, 706.0946053079889, 91.1250000000003
82, 709.7190252971668, 92.24999999999987
83, 703.0120606503906, 93.3749999999989
84, 708.5286781175716, 94.49999999999959
85, 706.4074604953131, 95.62499999999986
86, 708.030827766888, 96.74999999999922
87, 703.4319288010795, 97.87499999999905
88, 705.6078870643502, 98.99999999999957
89, 707.0459743440293, 100.12499999999974
90, 704.8306072515082, 101.25000000000034
91, 706.6950260478794, 102.37499999999868
92, 703.5865111173393, 103.49999999999947
93, 703.9491916521386, 104.62499999999989
94, 707.9698975684056, 105.74999999999962
95, 704.1665635713337, 106.87499999999991
96, 701.6936900866078, 107.99999999999977
97, 703.4075922440942, 109.12499999999957
98, 698.0866741102978, 110.24999999999902
99, 695.4232442453757, 111.375
100, 696.8427374400947, 112.50000000000026
101, 698.3588368577414, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 643.5525797988723, 1.124999999999985
2, 690.6453970797136, 2.24999999999997
3, 739.6654647976081, 3.374999999999993
4, 745.4595005167563, 4.49999999999994
5, 756.5662468666693, 5.624999999999949
6, 765.3181011484169, 6.749999999999986
7, 765.7586524818078, 7.874999999999969
8, 765.7208827738066, 8.99999999999988
9, 775.7406186795672, 10.124999999999904
