-------------------------------------------------------
Greedy experiments over SmallWorld
-------------------------------------------------------

--- Parameters: [1.0, 0.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 294.0625196409213, 1.124999999999985
2, 456.7641610246119, 2.24999999999997
3, 497.8254494732215, 3.374999999999993
4, 550.1331992574101, 4.49999999999994
5, 606.6841415215692, 5.624999999999949
6, 638.3344720661264, 6.749999999999986
7, 679.8568849586017, 7.874999999999969
8, 704.5768091969792, 8.99999999999988
9, 753.6762313834646, 10.124999999999904
10, 782.9409213162264, 11.249999999999899
11, 838.2963718884973, 12.374999999999947
12, 843.0667497607419, 13.499999999999972
13, 865.4403012796304, 14.624999999999904
14, 890.8421791013272, 15.749999999999938
15, 903.5123772827253, 16.87500000000004
16, 904.9644051732972, 17.99999999999976
17, 936.4385803016078, 19.124999999999766
18, 944.0987622667044, 20.249999999999808
19, 939.9694351570012, 21.374999999999787
20, 961.7813511790039, 22.499999999999797
21, 962.0941767581947, 23.624999999999897
22, 965.0435384745958, 24.749999999999893
23, 979.4002192862515, 25.87499999999987
24, 1011.2120785759953, 26.999999999999943
25, 1028.1313669386984, 28.125000000000064
26, 1020.5036310181194, 29.249999999999808
27, 1023.9325296961412, 30.375000000000057
28, 1013.9093476685617, 31.499999999999876
29, 1037.9069437200637, 32.62499999999967
30, 1055.0552731684352, 33.75000000000008
31, 1078.29320388953, 34.874999999999766
32, 1071.0954105336878, 35.99999999999952
33, 1072.7681212491616, 37.12499999999987
34, 1086.3326535628535, 38.24999999999953
35, 1084.1435363681808, 39.37500000000017
36, 1077.0594608500392, 40.499999999999616
37, 1097.5344005788588, 41.62499999999991
38, 1110.6986953435437, 42.749999999999574
39, 1120.202122919449, 43.87499999999931
40, 1114.5074665809195, 44.999999999999595
41, 1137.2386686229015, 46.124999999999936
42, 1145.2504148203689, 47.249999999999794
43, 1157.0154237196175, 48.37499999999961
44, 1161.981468371271, 49.49999999999979
45, 1164.297965612403, 50.62500000000017
46, 1160.5847091908197, 51.74999999999974
47, 1172.7941069344586, 52.87499999999981
48, 1186.5933023407347, 53.999999999999886
49, 1179.0647635150262, 55.12499999999951
50, 1191.4245337223688, 56.25000000000013
51, 1199.2636149003154, 57.374999999999986
52, 1206.2774651060085, 58.499999999999616
53, 1210.4365261995958, 59.624999999999396
54, 1214.6126079359728, 60.750000000000114
55, 1234.6982557887716, 61.874999999999865
56, 1225.832705873576, 62.99999999999975
57, 1234.496613404126, 64.1249999999995
58, 1246.2729646784085, 65.24999999999935
59, 1244.8193498308426, 66.37500000000018
60, 1238.7156159645951, 67.50000000000016
61, 1259.5489836910176, 68.62499999999916
62, 1263.7116862874923, 69.74999999999953
63, 1259.438385062696, 70.87500000000026
64, 1268.5917080720274, 71.99999999999903
65, 1271.2356910334743, 73.12499999999986
66, 1270.7939042629798, 74.24999999999974
67, 1284.3558233920667, 75.37499999999893
68, 1271.4500211006118, 76.49999999999906
69, 1285.6259736395664, 77.62499999999936
70, 1275.2466005935837, 78.75000000000034
71, 1278.863011201449, 79.87499999999946
72, 1289.6069439028893, 80.99999999999923
73, 1286.1947034825482, 82.12499999999908
74, 1292.523164169822, 83.24999999999982
75, 1303.0737631750599, 84.3749999999995
76, 1294.0584375001022, 85.49999999999915
77, 1296.3387999849, 86.6250000000002
78, 1295.5616628170424, 87.74999999999862
79, 1295.9723076518626, 88.87499999999935
80, 1297.3762637424652, 89.99999999999919
81, 1318.3950331612682, 91.1250000000003
82, 1302.0036633327852, 92.24999999999987
83, 1302.0846950623159, 93.3749999999989
84, 1294.3816398321328, 94.49999999999959
85, 1315.8091975498767, 95.62499999999986
86, 1310.938380319951, 96.74999999999922
87, 1308.8341276904553, 97.87499999999905
88, 1305.7946872736636, 98.99999999999957
89, 1304.868394347583, 100.12499999999974
90, 1301.9320784140514, 101.25000000000034
91, 1309.0307801485321, 102.37499999999868
92, 1313.58592598473, 103.49999999999947
93, 1310.5022564363223, 104.62499999999989
94, 1314.1438628444746, 105.74999999999962
95, 1305.326298794438, 106.87499999999991
96, 1318.3963910663745, 107.99999999999977
97, 1314.0642817588764, 109.12499999999957
98, 1315.193847028012, 110.24999999999902
99, 1324.4884471105568, 111.375
100, 1311.9553259274405, 112.50000000000026
101, 1316.5132136141474, 113.62499999999962
--- Parameters: [0.0, 1.0, 0.0] ------ 
--- Results found ---

Seeds, Benefit, Cost
1, 294.0625196409213, 1.124999999999985
2, 456.7641610246119, 2.24999999999997
3, 497.8254494732215, 3.374999999999993
4, 550.1331992574101, 4.49999999999994
5, 606.6841415215692, 5.624999999999949
6, 638.3344720661264, 6.749999999999986
